Date,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10
1/15/2013,67.84856553,76.9443814,68.37512949,75.27909966,68.13947861,75.45058177,66.7396756,75.55571437,66.21900102,72.95083194
1/16/2013,67.87384285,76.93773177,68.33966919,75.29535044,68.17552569,75.48313881,66.78148154,75.49419964,66.27078293,72.96391701
1/17/2013,67.8586454,76.97895086,68.37597454,75.29841135,68.18767961,75.53662018,66.73309647,75.50370132,66.29815091,72.94286255
1/18/2013,67.85885968,76.96318762,68.30559786,75.26731255,68.20131369,75.5061795,66.76941105,75.50151417,66.27136046,72.92710404
1/19/2013,67.86258555,76.90640968,68.30365797,75.27078593,68.19775001,75.53908008,66.78147965,75.51794643,66.27983287,72.93689724
1/20/2013,67.8370225,76.94176008,68.38725114,75.29082652,68.18700571,75.50937257,66.77187969,75.54554982,66.33615182,72.99341637
1/21/2013,67.82497249,76.89038828,68.4134833,75.3028217,68.21062338,75.49557148,66.76368836,75.57502805,66.35232861,72.99641045
1/22/2013,67.82022493,76.85136462,68.3771208,75.27179057,68.15789193,75.50325819,66.75836396,75.57862441,66.28226681,72.9551798
1/23/2013,67.8459468,76.84060193,68.29590534,75.30948679,68.15279129,75.5467173,66.80224215,75.54326747,66.30631251,72.923767
1/24/2013,67.84532119,76.86847552,68.33209645,75.25857713,68.15843316,75.58301259,66.85261724,75.5556716,66.32797891,72.97172648
1/25/2013,67.89759443,76.86605311,68.35744049,75.24638328,68.16645219,75.58315825,66.90047141,75.53003987,66.38204326,72.94476491
1/26/2013,67.91090869,76.89425931,68.45095264,75.25468313,68.15531805,75.53906833,66.89278623,75.5661764,66.43767121,72.9872805
1/27/2013,67.85124449,76.92449722,68.39407371,75.2771949,68.14835331,75.4907083,66.86937283,75.56258252,66.37662043,72.94538834
1/28/2013,67.87708893,76.86772297,68.49055526,75.24127588,68.14131278,75.51165393,66.84252555,75.5933434,66.3441018,72.94832022
1/29/2013,67.87810435,76.8669845,68.56958923,75.2260664,68.13451309,75.5249493,66.8898027,75.55422194,66.3039243,72.94652977
1/30/2013,67.78349394,76.84393471,68.51125726,75.2156539,68.12722208,75.52199173,66.84299306,75.54426285,66.31030786,72.95042757
1/31/2013,67.78977946,76.7938941,68.4324768,75.17205601,68.14011257,75.51146091,66.85394833,75.55428063,66.34898244,72.97153854
2/1/2013,67.79786918,76.82634162,68.5144793,75.15370264,68.15432348,75.51467785,66.84859047,75.58456425,66.40518354,73.01092825
2/2/2013,67.79294373,76.77508002,68.51522081,75.17458654,68.12708108,75.53330306,66.8475755,75.58233454,66.39285888,72.95730362
2/3/2013,67.82976929,76.70947034,68.44863223,75.15834948,68.14484498,75.56039274,66.82641861,75.56918544,66.43793647,72.94893901
2/4/2013,67.76406124,76.66518019,68.36542759,75.18878942,68.15459737,75.5633849,66.82670116,75.5333244,66.47276182,72.9062691
2/5/2013,67.74719277,76.61866745,68.34668869,75.1799265,68.19607059,75.55433525,66.83371498,75.53554026,66.4749026,72.90520711
2/6/2013,67.74561374,76.59852108,68.25739182,75.18584179,68.17666079,75.48029684,66.8284911,75.55977533,66.52215745,72.87988253
2/7/2013,67.74780482,76.58859902,68.34379733,75.19429813,68.21844244,75.46559419,66.81344413,75.53701446,66.5789745,72.87355642
2/8/2013,67.74502594,76.5993961,68.28456307,75.16959973,68.22636545,75.44254136,66.80046622,75.52925589,66.59831178,72.85221344
2/9/2013,67.73988983,76.57516575,68.33301571,75.18353498,68.29876272,75.44153433,66.79545516,75.52850724,66.64149588,72.88705699
2/10/2013,67.73618529,76.58660459,68.34234966,75.20828544,68.28963516,75.43793096,66.75171948,75.50570359,66.66343117,72.78652194
2/11/2013,67.74478374,76.60313156,68.2583005,75.22188592,68.32920623,75.41162387,66.7673968,75.5035827,66.58733119,72.75546697
2/12/2013,67.68050247,76.55372053,68.18347592,75.18201421,68.33992095,75.40441443,66.76506805,75.48549939,66.57027305,72.75445775
