,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,fact
46,2022-03-02 22:29:52,71.81300835142754,71.80355582541067,71.82304378792297,71.81300835142754,71.81300835142754,0.0,0.0,0.0,0.0,0.0,0.0,71.81300835142754,71.81186
47,2022-03-02 22:29:53,71.81370803021669,71.80344537552126,71.8210590026064,71.81370803021669,71.81370803021669,0.0,0.0,0.0,0.0,0.0,0.0,71.81370803021669,71.81374
48,2022-03-02 22:29:54,71.81440770900585,71.80449489146412,71.8248434598763,71.81440770900585,71.81440770900585,0.0,0.0,0.0,0.0,0.0,0.0,71.81440770900585,71.81586
49,2022-03-02 22:29:55,71.815107387795,71.8068436171758,71.82515634806316,71.815107387795,71.815107387795,0.0,0.0,0.0,0.0,0.0,0.0,71.815107387795,71.81634
50,2022-03-02 22:29:56,71.81580706658416,71.80767625823722,71.82622622205028,71.81580706658416,71.81580706658416,0.0,0.0,0.0,0.0,0.0,0.0,71.81580706658416,71.81663
51,2022-03-02 22:29:57,71.81650674537332,71.80777005575095,71.8251669137123,71.81650674537332,71.81650674537332,0.0,0.0,0.0,0.0,0.0,0.0,71.81650674537332,71.817
52,2022-03-02 22:29:58,71.81720642416246,71.80804614814657,71.82813862421398,71.81720642416246,71.81720642416246,0.0,0.0,0.0,0.0,0.0,0.0,71.81720642416246,71.8187
53,2022-03-02 22:29:59,71.81790610295162,71.80939999118607,71.8279739131632,71.81790610295162,71.81790610295162,0.0,0.0,0.0,0.0,0.0,0.0,71.81790610295162,71.81921
54,2022-03-02 22:30:00,71.81860578174077,71.8091242451255,71.82844978309605,71.81860578174077,71.81860578174077,0.0,0.0,0.0,0.0,0.0,0.0,71.81860578174077,71.82005
55,2022-03-02 22:30:01,71.81930546052993,71.80985210526968,71.82822181045917,71.81930546052993,71.81930546052993,0.0,0.0,0.0,0.0,0.0,0.0,71.81930546052993,71.82039
56,2022-03-02 22:30:02,71.82055260517589,71.81208182134503,71.82886820140214,71.82055260517589,71.82055260517589,0.0,0.0,0.0,0.0,0.0,0.0,71.82055260517589,71.82098
57,2022-03-02 22:30:03,71.82179974982186,71.81270104688308,71.83057287122526,71.82179974982186,71.82179974982186,0.0,0.0,0.0,0.0,0.0,0.0,71.82179974982186,71.82172
58,2022-03-02 22:30:04,71.82304689446784,71.81274625334368,71.83405316537414,71.82304689446784,71.82304689446784,0.0,0.0,0.0,0.0,0.0,0.0,71.82304689446784,71.8231
59,2022-03-02 22:30:05,71.8242940391138,71.81481662356794,71.83260433704233,71.8242940391138,71.8242940391138,0.0,0.0,0.0,0.0,0.0,0.0,71.8242940391138,71.82409
60,2022-03-02 22:30:06,71.82554118375977,71.8150778532217,71.83305155676867,71.82554118375977,71.82554118375977,0.0,0.0,0.0,0.0,0.0,0.0,71.82554118375977,71.82491999999999
61,2022-03-02 22:30:07,71.82678832840573,71.81745011085142,71.83613937633447,71.82678832840573,71.82678832840573,0.0,0.0,0.0,0.0,0.0,0.0,71.82678832840573,71.82505
62,2022-03-02 22:30:08,71.8280354730517,71.8195247031077,71.83797082156941,71.8280354730517,71.8280354730517,0.0,0.0,0.0,0.0,0.0,0.0,71.8280354730517,71.8278
63,2022-03-02 22:30:09,71.82928261769766,71.81942581759785,71.83931751624544,71.82928261769766,71.82928261769766,0.0,0.0,0.0,0.0,0.0,0.0,71.82928261769766,71.82818
64,2022-03-02 22:30:10,71.83052976234363,71.8228155609301,71.83826051086332,71.83052976234363,71.83052976234363,0.0,0.0,0.0,0.0,0.0,0.0,71.83052976234363,71.82887
65,2022-03-02 22:30:11,71.8317769069896,71.82308374339209,71.84221540668563,71.8317769069896,71.8317769069896,0.0,0.0,0.0,0.0,0.0,0.0,71.8317769069896,71.83184
66,2022-03-02 22:30:12,71.83302405163556,71.82328729700077,71.8426268580111,71.83302405163556,71.83302405163556,0.0,0.0,0.0,0.0,0.0,0.0,71.83302405163556,71.83258000000001
67,2022-03-02 22:30:13,71.83427119628153,71.82634682313937,71.84295897441456,71.83427119628153,71.83427119628153,0.0,0.0,0.0,0.0,0.0,0.0,71.83427119628153,71.8335
